siteName,siteType,depth,date,localTime,licorData,cloudy
STRI,IR,5,5/28/15,11:27:27,1397.6,N
STRI,IR,5,5/28/15,11:27:57,1240.9,N
STRI,IR,5,5/28/15,11:28:27,878.63,N
STRI,IR,5,5/28/15,11:28:57,838.95,N
STRI,IR,5,5/28/15,11:29:27,807.63,N
STRI,IR,5,5/28/15,11:29:57,817.09,N
STRI,IR,5,5/28/15,11:30:27,711.21,N
STRI,IR,5,5/28/15,11:30:57,654.83,N
STRI,IR,5,5/28/15,11:31:27,612.72,N
STRI,IR,5,5/28/15,11:31:57,722.57,N
STRI,IR,5,5/28/15,11:32:27,640.42,N
STRI,IR,5,5/28/15,11:32:57,653.27,N
STRI,IR,5,5/28/15,11:33:27,627.17,N
STRI,IR,5,5/28/15,11:33:57,657.55,N
STRI,IR,5,5/28/15,11:34:27,683.88,N
STRI,IR,5,5/28/15,11:34:57,696.54,N
STRI,IR,5,5/28/15,11:35:27,786.76,N
STRI,IR,5,5/28/15,11:35:57,695.03,N
STRI,IR,5,5/28/15,11:36:27,588.03,N
STRI,IR,5,5/28/15,11:36:57,601.45,N
STRI,IR,5,5/28/15,11:37:27,611.34,N
STRI,IR,5,5/28/15,11:37:57,662.24,N
STRI,IR,5,5/28/15,11:38:27,841.76,N
STRI,IR,5,5/28/15,11:38:57,970.04,N
STRI,IR,5,5/28/15,11:39:27,935.45,N
STRI,IR,5,5/28/15,11:39:57,1197,N
STRI,IR,5,5/28/15,11:40:27,1191.7,N
STRI,IR,5,5/28/15,11:40:57,985.87,N
STRI,IR,5,5/28/15,11:41:27,777.77,N
STRI,IR,5,5/28/15,11:41:57,859.75,N
STRI,IR,5,5/28/15,11:42:27,926.12,N
STRI,IR,5,5/28/15,11:42:57,868.09,N
STRI,IR,5,5/28/15,11:43:27,735.28,N
STRI,IR,5,5/28/15,11:43:57,874.85,N
STRI,IR,5,5/28/15,11:44:27,789.89,N
STRI,IR,5,5/28/15,11:44:57,797.15,N
STRI,IR,5,5/28/15,11:45:27,779.56,N
STRI,IR,5,5/28/15,11:45:57,824.5,N
STRI,IR,5,5/28/15,11:46:27,823.87,N
STRI,IR,5,5/28/15,11:46:57,836.88,N
STRI,IR,5,5/28/15,11:47:27,860.96,N
STRI,IR,5,5/28/15,11:47:57,878.57,N
STRI,IR,5,5/28/15,11:48:27,879.37,N
STRI,IR,5,5/28/15,11:48:57,917,N
STRI,IR,5,5/28/15,11:49:27,813.05,N
STRI,IR,5,5/28/15,11:49:57,976.45,N
STRI,IR,5,5/28/15,11:50:27,966.58,N
STRI,IR,5,5/28/15,11:50:57,757.12,N
STRI,IR,5,5/28/15,11:51:27,653.44,N
STRI,IR,5,5/28/15,11:51:57,611.17,N
STRI,IR,5,5/28/15,11:52:27,603.41,N
STRI,IR,5,5/28/15,11:52:57,758.41,N
STRI,IR,5,5/28/15,11:53:27,705.23,N
STRI,IR,5,5/28/15,11:53:57,672.97,N
STRI,IR,5,5/28/15,11:54:27,697.19,N
STRI,IR,5,5/28/15,11:54:57,706.5,N
STRI,IR,5,5/28/15,11:55:27,741.45,N
STRI,IR,5,5/28/15,11:55:57,974.18,N
STRI,IR,5,5/28/15,11:56:27,775.63,N
STRI,IR,5,5/28/15,11:56:57,841.5,N
STRI,IR,5,5/28/15,11:57:27,718.25,N
STRI,IR,5,5/28/15,11:57:57,719.94,N
STRI,IR,5,5/28/15,11:58:27,696.15,N
STRI,IR,5,5/28/15,11:58:57,674.51,N
STRI,IR,5,5/28/15,11:59:27,659.45,N
STRI,IR,5,5/28/15,11:59:57,671.74,N
STRI,IR,5,5/28/15,12:00:27,681.94,N
STRI,IR,5,5/28/15,12:00:57,688.07,N
STRI,IR,5,5/28/15,12:01:27,674.29,N
STRI,IR,5,5/28/15,12:01:57,674.29,N
STRI,IR,5,5/28/15,12:02:27,674.31,N
STRI,IR,5,5/28/15,12:02:57,649.6,N
STRI,IR,5,5/28/15,12:03:27,652.58,N
STRI,IR,5,5/28/15,12:03:57,631.08,N
STRI,IR,5,5/28/15,12:04:27,630.7,N
STRI,IR,5,5/28/15,12:04:57,587.92,N
STRI,IR,5,5/28/15,12:05:27,536.17,N
STRI,IR,5,5/28/15,12:05:57,532.28,N
STRI,IR,5,5/28/15,12:06:27,506.21,N
STRI,IR,5,5/28/15,12:06:57,521.31,N
STRI,IR,5,5/28/15,12:07:27,501.58,N
STRI,IR,5,5/28/15,12:07:57,501.72,N
STRI,IR,5,5/28/15,12:08:27,518.74,N
STRI,IR,5,5/28/15,12:08:57,582.11,N
STRI,IR,5,5/28/15,12:09:27,560.44,N
STRI,IR,5,5/28/15,12:09:57,488.6,N
STRI,IR,5,5/28/15,12:10:27,458.51,N
STRI,IR,5,5/28/15,12:10:57,437.22,N
STRI,IR,5,5/28/15,12:11:27,418.87,N
STRI,IR,5,5/28/15,12:11:57,394.03,N
STRI,IR,5,5/28/15,12:12:27,368.13,N
STRI,IR,5,5/28/15,12:12:57,348.07,N
STRI,IR,5,5/28/15,12:13:27,325.75,N
STRI,IR,5,5/28/15,12:13:57,307.37,N
STRI,IR,5,5/28/15,12:14:27,262.05,N
STRI,IR,5,5/28/15,12:14:57,154.08,N
STRI,IR,5,5/28/15,12:15:27,269.27,Y
STRI,IR,5,5/28/15,12:15:57,304.37,Y
STRI,IR,5,5/28/15,12:16:27,314.19,Y
STRI,IR,5,5/28/15,12:16:57,332.85,Y
STRI,IR,5,5/28/15,12:17:27,347.2,Y
STRI,IR,5,5/28/15,12:17:57,364.72,Y
STRI,IR,5,5/28/15,12:18:27,371.12,Y
STRI,IR,5,5/28/15,12:18:57,387.35,Y
STRI,IR,5,5/28/15,12:19:27,411.94,Y
STRI,IR,5,5/28/15,12:19:57,440.86,Y
STRI,IR,5,5/28/15,12:20:27,461.46,Y
STRI,IR,5,5/28/15,12:20:57,542.34,Y
STRI,IR,5,5/28/15,12:21:27,681.03,Y
STRI,IR,5,5/28/15,12:21:57,640.03,Y
STRI,IR,5,5/28/15,12:22:27,686.04,Y
STRI,IR,5,5/28/15,12:22:57,652.95,Y
STRI,IR,5,5/28/15,12:23:27,674.51,Y
STRI,IR,5,5/28/15,12:23:57,766.45,Y
STRI,IR,5,5/28/15,12:24:27,728.95,Y
STRI,IR,5,5/28/15,12:24:57,596.24,Y
STRI,IR,5,5/28/15,12:25:27,617.47,Y
STRI,IR,5,5/28/15,12:25:57,707.52,Y
STRI,IR,5,5/28/15,12:26:27,753.62,Y
STRI,IR,5,5/28/15,12:26:57,704.51,Y
STRI,IR,17,5/28/15,13:43:50,144.85,Y
STRI,IR,17,5/28/15,13:44:20,141.09,Y
STRI,IR,17,5/28/15,13:44:50,146.56,Y
STRI,IR,17,5/28/15,13:45:20,173.49,Y
STRI,IR,17,5/28/15,13:45:50,191.7,Y
STRI,IR,17,5/28/15,13:46:20,233.24,Y
STRI,IR,17,5/28/15,13:46:50,212.64,Y
STRI,IR,17,5/28/15,13:47:20,169.68,Y
STRI,IR,17,5/28/15,13:47:50,163.33,Y
STRI,IR,17,5/28/15,13:48:20,141.36,Y
STRI,IR,17,5/28/15,13:48:50,134.62,Y
STRI,IR,17,5/28/15,13:49:20,136.81,Y
STRI,IR,17,5/28/15,13:49:50,141.45,Y
STRI,IR,17,5/28/15,13:50:20,141.5,Y
STRI,IR,17,5/28/15,13:50:50,143.17,Y
STRI,IR,17,5/28/15,13:51:20,154.2,Y
STRI,IR,17,5/28/15,13:51:50,150.65,Y
STRI,IR,17,5/28/15,13:52:20,142.41,Y
STRI,IR,17,5/28/15,13:52:50,136.67,Y
STRI,IR,17,5/28/15,13:53:20,130.71,Y
STRI,IR,17,5/28/15,13:53:50,126.29,Y
STRI,IR,17,5/28/15,13:54:20,124.44,Y
STRI,IR,17,5/28/15,13:54:50,124.49,Y
STRI,IR,17,5/28/15,13:55:20,123.38,Y
STRI,IR,17,5/28/15,13:55:50,121.52,Y
STRI,IR,17,5/28/15,13:56:20,128.56,Y
STRI,IR,17,5/28/15,13:56:50,118.13,Y
STRI,IR,17,5/28/15,13:57:20,109.14,Y
STRI,IR,17,5/28/15,13:57:50,105.12,Y
STRI,IR,17,5/28/15,13:58:20,100.82,Y
STRI,IR,17,5/28/15,13:58:50,98.362,Y
STRI,IR,17,5/28/15,13:59:20,96.798,Y
STRI,IR,17,5/28/15,13:59:50,84.402,Y
STRI,IR,17,5/28/15,14:00:20,571.85,Y
STRI,IR,17,5/28/15,14:00:50,339.54,Y
STRI,IR,17,5/28/15,14:01:20,0.0024722,Y
STRI,IR,17,5/28/15,14:01:50,0.0024722,Y
PUNTA LAUREL,IR,8,6/3/15,12:19:14,732.71,Y
PUNTA LAUREL,IR,8,6/3/15,12:19:44,806.59,Y
PUNTA LAUREL,IR,8,6/3/15,12:20:14,773.62,Y
PUNTA LAUREL,IR,8,6/3/15,12:20:44,767.1,Y
PUNTA LAUREL,IR,8,6/3/15,12:21:14,762.47,Y
PUNTA LAUREL,IR,8,6/3/15,12:21:44,686.45,Y
PUNTA LAUREL,IR,8,6/3/15,12:22:14,736.16,Y
PUNTA LAUREL,IR,8,6/3/15,12:22:44,778.91,Y
PUNTA LAUREL,IR,8,6/3/15,12:23:14,737.52,Y
PUNTA LAUREL,IR,8,6/3/15,12:23:44,795.48,Y
PUNTA LAUREL,IR,8,6/3/15,12:24:14,753.57,Y
PUNTA LAUREL,IR,8,6/3/15,12:24:44,752.99,Y
PUNTA LAUREL,IR,8,6/3/15,12:25:14,811.04,Y
PUNTA LAUREL,IR,8,6/3/15,12:25:44,710.43,Y
PUNTA LAUREL,IR,8,6/3/15,12:26:14,723.65,Y
PUNTA LAUREL,IR,8,6/3/15,12:26:44,773.1,Y
PUNTA LAUREL,IR,8,6/3/15,12:27:14,801.1,Y
PUNTA LAUREL,IR,8,6/3/15,12:27:44,758.15,Y
PUNTA LAUREL,IR,8,6/3/15,12:28:14,805.38,Y
PUNTA LAUREL,IR,8,6/3/15,12:28:44,741.69,Y
PUNTA LAUREL,IR,8,6/3/15,12:29:14,734.22,Y
PUNTA LAUREL,IR,8,6/3/15,12:29:44,753.21,Y
PUNTA LAUREL,IR,8,6/3/15,12:30:14,746.88,Y
PUNTA LAUREL,IR,8,6/3/15,12:30:44,744.72,Y
PUNTA LAUREL,IR,8,6/3/15,12:31:14,709.14,Y
PUNTA LAUREL,IR,8,6/3/15,12:31:44,693.69,Y
PUNTA LAUREL,IR,8,6/3/15,12:32:14,674.94,Y
PUNTA LAUREL,IR,8,6/3/15,12:32:44,653.94,Y
PUNTA LAUREL,IR,8,6/3/15,12:33:14,780.1,Y
PUNTA LAUREL,IR,8,6/3/15,12:33:44,788.51,Y
PUNTA LAUREL,IR,8,6/3/15,12:34:14,704.21,Y
PUNTA LAUREL,IR,8,6/3/15,12:34:44,667.9,Y
PUNTA LAUREL,IR,8,6/3/15,12:35:14,779.78,Y
PUNTA LAUREL,IR,8,6/3/15,12:35:44,751.22,Y
PUNTA LAUREL,IR,8,6/3/15,12:36:14,799.37,Y
PUNTA LAUREL,IR,8,6/3/15,12:36:44,787.47,Y
PUNTA LAUREL,IR,8,6/3/15,12:37:14,655.41,Y
PUNTA LAUREL,IR,8,6/3/15,12:37:44,858.54,Y
PUNTA LAUREL,IR,8,6/3/15,12:38:14,677.68,Y
PUNTA LAUREL,IR,8,6/3/15,12:38:44,727.89,Y
PUNTA LAUREL,IR,8,6/3/15,12:39:14,642.88,Y
PUNTA LAUREL,IR,8,6/3/15,12:39:44,790.64,Y
PUNTA LAUREL,IR,8,6/3/15,12:40:14,635.75,Y
PUNTA LAUREL,IR,8,6/3/15,12:40:44,698.94,Y
PUNTA LAUREL,IR,8,6/3/15,12:41:14,732.25,Y
PUNTA LAUREL,IR,8,6/3/15,12:41:44,775.03,Y
PUNTA LAUREL,IR,8,6/3/15,12:42:14,670.96,Y
PUNTA LAUREL,IR,8,6/3/15,12:42:44,735.21,Y
PUNTA LAUREL,IR,8,6/3/15,12:43:14,645.91,Y
PUNTA LAUREL,IR,8,6/3/15,12:43:44,738.43,Y
PUNTA LAUREL,IR,8,6/3/15,12:44:14,571.85,Y
PUNTA LAUREL,IR,8,6/3/15,12:44:44,787.27,Y
PUNTA LAUREL,IR,8,6/3/15,12:45:14,767.27,Y
PUNTA LAUREL,IR,8,6/3/15,12:45:44,808.55,Y
PUNTA LAUREL,IR,8,6/3/15,12:46:14,780.71,Y
PUNTA LAUREL,IR,8,6/3/15,12:46:44,825.14,Y
PUNTA LAUREL,IR,8,6/3/15,12:47:14,663.99,Y
PUNTA LAUREL,IR,8,6/3/15,12:47:44,644.91,Y
PUNTA LAUREL,IR,8,6/3/15,12:48:14,709.31,Y
PUNTA LAUREL,IR,8,6/3/15,12:48:44,535.15,Y
PUNTA LAUREL,IR,8,6/3/15,12:49:14,578.91,Y
PUNTA LAUREL,IR,8,6/3/15,12:49:44,571.85,Y
PUNTA LAUREL,IR,8,6/3/15,12:50:14,700.52,Y
PUNTA LAUREL,IR,8,6/3/15,12:50:44,571.85,Y
PUNTA LAUREL,IR,8,6/3/15,12:51:14,689.78,Y
PUNTA LAUREL,IR,8,6/3/15,12:51:44,743.92,Y
PUNTA LAUREL,IR,8,6/3/15,12:52:14,621.6,Y
PUNTA LAUREL,IR,8,6/3/15,12:52:44,751.15,Y
PUNTA LAUREL,IR,8,6/3/15,12:53:14,700.52,Y
PUNTA LAUREL,IR,8,6/3/15,12:53:44,777.14,Y
PUNTA LAUREL,IR,8,6/3/15,12:54:14,700.17,Y
PUNTA LAUREL,IR,8,6/3/15,12:54:44,571.85,Y
PUNTA LAUREL,IR,8,6/3/15,12:55:14,646.96,Y
PUNTA LAUREL,IR,8,6/3/15,12:55:44,675.22,Y
PUNTA LAUREL,IR,8,6/3/15,12:56:14,726.89,Y
PUNTA LAUREL,IR,8,6/3/15,12:56:44,571.85,Y
PUNTA LAUREL,IR,8,6/3/15,12:57:14,728.15,Y
PUNTA LAUREL,IR,8,6/3/15,12:57:44,831.58,Y
PUNTA LAUREL,IR,8,6/3/15,12:58:14,762.99,Y
PUNTA LAUREL,IR,8,6/3/15,12:58:44,787.97,Y
PUNTA LAUREL,IR,8,6/3/15,12:59:14,751.67,Y
PUNTA LAUREL,IR,8,6/3/15,12:59:44,717.15,Y
PUNTA LAUREL,IR,8,6/3/15,13:00:14,801.75,Y
PUNTA LAUREL,IR,8,6/3/15,13:00:44,747.74,Y
PUNTA LAUREL,IR,8,6/3/15,13:01:14,733.96,Y
PUNTA LAUREL,IR,8,6/3/15,13:01:44,620.13,Y
PUNTA LAUREL,IR,8,6/3/15,13:02:14,571.85,Y
PUNTA LAUREL,IR,8,6/3/15,13:02:44,571.85,Y
PUNTA LAUREL,IR,8,6/3/15,13:03:14,620.59,Y
PUNTA LAUREL,IR,8,6/3/15,13:03:44,550.67,Y
PUNTA LAUREL,IR,8,6/3/15,13:04:14,609.18,Y
PUNTA LAUREL,IR,8,6/3/15,13:04:44,571.85,Y
PUNTA LAUREL,IR,8,6/3/15,13:05:14,564.89,Y
PUNTA LAUREL,IR,8,6/3/15,13:05:44,571.85,Y
PUNTA LAUREL,IR,8,6/3/15,13:06:14,674.12,Y
PUNTA LAUREL,IR,8,6/3/15,13:06:44,569.73,Y
PUNTA LAUREL,IR,8,6/3/15,13:07:14,601.94,Y
PUNTA LAUREL,IR,8,6/3/15,13:07:44,736.79,Y
PUNTA LAUREL,IR,8,6/3/15,13:08:14,788.66,Y
PUNTA LAUREL,IR,8,6/3/15,13:08:44,816.4,Y
PUNTA LAUREL,IR,8,6/3/15,13:09:14,739.94,Y
PUNTA LAUREL,IR,8,6/3/15,13:09:44,655.11,Y
PUNTA LAUREL,IR,8,6/3/15,13:10:14,622.21,Y
PUNTA LAUREL,IR,8,6/3/15,13:10:44,644.5,Y
PUNTA LAUREL,IR,8,6/3/15,13:11:14,595.64,Y
PUNTA LAUREL,IR,8,6/3/15,13:11:44,670.34,Y
PUNTA LAUREL,IR,8,6/3/15,13:12:14,725.94,Y
PUNTA LAUREL,IR,8,6/3/15,13:12:44,900.69,Y
PUNTA LAUREL,IR,8,6/3/15,13:13:14,848.32,Y
PUNTA LAUREL,IR,8,6/3/15,13:13:44,667.16,Y
PUNTA LAUREL,IR,8,6/3/15,13:14:14,717.11,Y
PUNTA LAUREL,IR,8,6/3/15,13:14:44,667.31,Y
PUNTA LAUREL,IR,8,6/3/15,13:15:14,851.37,Y
PUNTA LAUREL,IR,8,6/3/15,13:15:44,813.8,Y
PUNTA LAUREL,IR,8,6/3/15,13:16:14,862.43,Y
PUNTA LAUREL,IR,8,6/3/15,13:16:44,838.69,Y
PUNTA LAUREL,IR,8,6/3/15,13:17:14,727.72,Y
PUNTA LAUREL,IR,8,6/3/15,13:17:44,633.44,Y
PUNTA LAUREL,IR,8,6/3/15,13:18:14,959.43,Y
PUNTA LAUREL,IR,8,6/3/15,13:18:44,751.48,Y
PUNTA LAUREL,IR,8,6/3/15,13:19:14,791.85,Y
PUNTA LAUREL,IR,8,6/3/15,13:19:44,777.01,Y
PUNTA LAUREL,IR,8,6/3/15,13:20:14,826.64,Y
PUNTA LAUREL,IR,8,6/3/15,13:20:44,753.25,Y
PUNTA LAUREL,IR,8,6/3/15,13:21:14,722.79,Y
PUNTA LAUREL,IR,8,6/3/15,13:21:44,706.37,Y
PUNTA LAUREL,IR,8,6/3/15,13:22:14,838.58,Y
PUNTA LAUREL,IR,8,6/3/15,13:22:44,726.81,Y
PUNTA LAUREL,IR,8,6/3/15,13:23:14,696.65,Y
PUNTA LAUREL,IR,8,6/3/15,13:23:44,847.59,Y
PUNTA LAUREL,IR,8,6/3/15,13:24:14,752.58,Y
PUNTA LAUREL,IR,8,6/3/15,13:24:44,817.26,Y
PUNTA DONATO,IR,10,6/5/15,11:44:59,301.4,N
PUNTA DONATO,IR,10,6/5/15,11:45:29,309.81,N
PUNTA DONATO,IR,10,6/5/15,11:45:59,402.73,N
PUNTA DONATO,IR,10,6/5/15,11:46:29,393.64,N
PUNTA DONATO,IR,10,6/5/15,11:46:59,292.2,N
PUNTA DONATO,IR,10,6/5/15,11:47:29,288.07,N
PUNTA DONATO,IR,10,6/5/15,11:47:59,280.17,N
PUNTA DONATO,IR,10,6/5/15,11:48:29,269.04,N
PUNTA DONATO,IR,10,6/5/15,11:48:59,275.16,N
PUNTA DONATO,IR,10,6/5/15,11:49:29,293.48,N
PUNTA DONATO,IR,10,6/5/15,11:49:59,276.48,N
PUNTA DONATO,IR,10,6/5/15,11:50:29,269.27,N
PUNTA DONATO,IR,10,6/5/15,11:50:59,265.82,N
PUNTA DONATO,IR,10,6/5/15,11:51:29,259.68,N
PUNTA DONATO,IR,10,6/5/15,11:51:59,258.52,N
PUNTA DONATO,IR,10,6/5/15,11:52:29,252.61,N
PUNTA DONATO,IR,10,6/5/15,11:52:59,254.22,N
PUNTA DONATO,IR,10,6/5/15,11:53:29,256.72,N
PUNTA DONATO,IR,10,6/5/15,11:53:59,257.96,N
PUNTA DONATO,IR,10,6/5/15,11:54:29,257.08,N
PUNTA DONATO,IR,10,6/5/15,11:54:59,263.47,N
PUNTA DONATO,IR,10,6/5/15,11:55:29,267.53,N
PUNTA DONATO,IR,10,6/5/15,11:55:59,266.97,N
PUNTA DONATO,IR,10,6/5/15,11:56:29,258.44,N
PUNTA DONATO,IR,10,6/5/15,11:56:59,258.99,N
PUNTA DONATO,IR,10,6/5/15,11:57:29,245.11,N
PUNTA DONATO,IR,10,6/5/15,11:57:59,253.5,N
PUNTA DONATO,IR,10,6/5/15,11:58:29,265.47,N
PUNTA DONATO,IR,10,6/5/15,11:58:59,283.03,N
PUNTA DONATO,IR,10,6/5/15,11:59:29,288.42,N
PUNTA DONATO,IR,10,6/5/15,11:59:59,314.03,N
PUNTA DONATO,IR,10,6/5/15,12:00:29,453.19,N
PUNTA DONATO,IR,10,6/5/15,12:00:59,491.25,N
PUNTA DONATO,IR,10,6/5/15,12:01:29,402.31,N
PUNTA DONATO,IR,10,6/5/15,12:01:59,426.16,N
PUNTA DONATO,IR,10,6/5/15,12:02:29,280.52,N
PUNTA DONATO,IR,10,6/5/15,12:02:59,252.61,N
PUNTA DONATO,IR,10,6/5/15,12:03:29,240.47,N
PUNTA DONATO,IR,10,6/5/15,12:03:59,240.15,N
PUNTA DONATO,IR,10,6/5/15,12:04:29,232.17,N
PUNTA DONATO,IR,10,6/5/15,12:04:59,222.42,N
PUNTA DONATO,IR,10,6/5/15,12:05:29,243.58,N
PUNTA DONATO,IR,10,6/5/15,12:05:59,233.56,N
PUNTA DONATO,IR,10,6/5/15,12:06:29,223.66,N
PUNTA DONATO,IR,10,6/5/15,12:06:59,214.17,N
PUNTA DONATO,IR,10,6/5/15,12:07:29,212.64,N
PUNTA DONATO,IR,10,6/5/15,12:07:59,215.31,N
PUNTA DONATO,IR,10,6/5/15,12:08:29,217.32,N
PUNTA DONATO,IR,10,6/5/15,12:08:59,220.39,N
PUNTA DONATO,IR,10,6/5/15,12:09:29,213.32,N
PUNTA DONATO,IR,10,6/5/15,12:09:59,228.19,N
PUNTA DONATO,IR,10,6/5/15,12:10:29,222.4,N
PUNTA DONATO,IR,10,6/5/15,12:10:59,241.2,N
PUNTA DONATO,IR,10,6/5/15,12:11:29,272.78,N
PUNTA DONATO,IR,10,6/5/15,12:11:59,337.64,N
PUNTA DONATO,IR,10,6/5/15,12:12:29,372.5,N
PUNTA DONATO,IR,10,6/5/15,12:12:59,309.49,N
PUNTA DONATO,IR,10,6/5/15,12:13:29,295.25,N
PUNTA DONATO,IR,10,6/5/15,12:13:59,281.17,N
PUNTA DONATO,IR,10,6/5/15,12:14:29,270.56,N
PUNTA DONATO,IR,10,6/5/15,12:14:59,249.15,N
PUNTA DONATO,IR,10,6/5/15,12:15:29,229.12,N
PUNTA DONATO,IR,10,6/5/15,12:15:59,221.61,N
PUNTA DONATO,IR,10,6/5/15,12:16:29,206.87,N
PUNTA DONATO,IR,10,6/5/15,12:16:59,192.37,N
PUNTA DONATO,IR,10,6/5/15,12:17:29,185.26,N
PUNTA DONATO,IR,10,6/5/15,12:17:59,184.28,N
PUNTA DONATO,IR,10,6/5/15,12:18:29,182.03,N
PUNTA DONATO,IR,10,6/5/15,12:18:59,162.02,N
PUNTA DONATO,IR,10,6/5/15,12:19:29,164.63,N
PUNTA DONATO,IR,10,6/5/15,12:19:59,157.46,N
PUNTA DONATO,IR,10,6/5/15,12:20:29,159.03,N
PUNTA DONATO,IR,10,6/5/15,12:20:59,156.84,N
PUNTA DONATO,IR,10,6/5/15,12:21:29,169.02,N
PUNTA DONATO,IR,10,6/5/15,12:21:59,156.57,N
PUNTA DONATO,IR,10,6/5/15,12:22:29,156.7,N
PUNTA DONATO,IR,10,6/5/15,12:22:59,164.76,N
PUNTA DONATO,IR,10,6/5/15,12:23:29,163.68,N
PUNTA DONATO,IR,10,6/5/15,12:23:59,171.88,N
PUNTA DONATO,IR,10,6/5/15,12:24:29,176.9,N
PUNTA DONATO,IR,10,6/5/15,12:24:59,178.39,N
PUNTA DONATO,IR,10,6/5/15,12:25:29,186.95,N
PUNTA DONATO,IR,10,6/5/15,12:25:59,179.64,N
PUNTA DONATO,IR,10,6/5/15,12:26:29,186.96,N
PUNTA DONATO,IR,10,6/5/15,12:26:59,193.13,N
PUNTA DONATO,IR,10,6/5/15,12:27:29,187.24,N
PUNTA DONATO,IR,10,6/5/15,12:27:59,189.62,N
PUNTA DONATO,IR,10,6/5/15,12:28:29,191.59,N
PUNTA DONATO,IR,10,6/5/15,12:28:59,197.21,N
PUNTA DONATO,IR,10,6/5/15,12:29:29,202.93,N
PUNTA DONATO,IR,10,6/5/15,12:29:59,205.84,N
PUNTA DONATO,IR,10,6/5/15,12:30:29,206.14,N
PUNTA DONATO,IR,10,6/5/15,12:30:59,226.69,N
BASTIM NORTH,OR,15,5/29/15,9:53:42,457.59,N
BASTIM NORTH,OR,15,5/29/15,9:54:12,426.23,N
BASTIM NORTH,OR,15,5/29/15,9:54:42,437.6,N
BASTIM NORTH,OR,15,5/29/15,9:55:12,453.28,N
BASTIM NORTH,OR,15,5/29/15,9:55:42,406.63,N
BASTIM NORTH,OR,15,5/29/15,9:56:12,446.57,N
